Home,Away,Rodada,prob_PB,prob_PD_gol,prob_PD_gol_FinC_RB,prob_PD_gol_Fina_RB,prob_PD_gol_FinC,prob_PD_gol_Fina,prob_DC,prob_binpo_log,prob_binpo_p,prob_PB_placar,prob_PD_gol_placar,prob_PD_gol_FinC_placar,prob_PD_gol_Fina_placar,prob_DC_placar,prob_binpo_log_placar,prob_binpo_p_placar,Defi_PB,RPS_PB,Defi_PD_gol,RPS_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Defi_DC,RPS_DC,Defi_binpo_log,RPS_binpo_log,Defi_binpo_p,RPS_binpo_p,Defi_palp_br,RPS_palp_br
Santos,São Paulo,36,[0.6222 0.2074 0.1687],[0.5564 0.2261 0.2168],[0.5527 0.2266 0.22  ],[0.5558 0.2268 0.2167],[0.554  0.2261 0.2192],[0.5575 0.2263 0.2155],[0.4978 0.1956 0.3051],[0.4167 0.2242 0.3582],[0.2957 0.2537 0.4504],0.0428,0.05725708466090247,0.05720010021325115,0.05749217742176711,0.050109481606021626,0.052634438926129554,0.10180963657509791,1.12120729,0.537685945,0.97410441,0.46094385,0.96522485,0.45639313499999995,0.9739107699999999,0.460688445,0.96768585,0.45773625000000007,0.9774581899999999,0.46257459000000006,0.7689502100000001,0.364305325,0.6358117699999999,0.292196255,0.45386234,0.19463944499999997,0.91675802,0.424708885
Cruzeiro,Goiás,36,[0.8137 0.1287 0.0513],[0.7747 0.1496 0.0722],[0.7673 0.1536 0.0759],[0.781  0.1463 0.069 ],[0.7665 0.1538 0.0764],[0.78   0.1467 0.0695],[0.6935 0.1612 0.1423],[0.8348 0.1066 0.0478],[0.7441 0.1657 0.0877],0.0805,0.08534382772726112,0.08673254239027448,0.08446053870198007,0.09657937895664877,0.07466718786236669,0.08967853800409563,0.053903070000000004,0.019032570000000002,0.07835308999999997,0.028251414999999978,0.08350306000000002,0.03020817000000001,0.07412569,0.026629989999999996,0.08401365000000002,0.03044261500000002,0.07475114,0.02689366499999999,0.14017698,0.05753166999999999,0.04093944000000001,0.015420820000000003,0.10063259000000001,0.03681355000000001,0.36215801999999997,0.147408885
Figueirense,Vitória,36,[0.5978 0.2427 0.1589],[0.5063 0.2639 0.2297],[0.4992 0.2659 0.2348],[0.5126 0.2597 0.2275],[0.4992 0.267  0.2337],[0.5122 0.2611 0.2265],[0.5062 0.2147 0.2786],[0.558  0.2515 0.1903],[0.3932 0.2973 0.3095],0.1138,0.10124726274830763,0.1003182377002283,0.1018962336095458,0.07870999415348914,0.1148428638211199,0.07832925543270514,0.24591733999999998,0.093602725,0.36614499,0.14827387,0.37663449000000004,0.15298933,0.35675910000000005,0.14470304500000003,0.37670533,0.152731545,0.35742430000000003,0.144670885,0.36755249,0.16086775,0.2948303399999999,0.11582714499999996,0.55238378,0.231998245,0.36215801999999997,0.147408885
Corinthians,Grêmio,36,[0.2574 0.5644 0.1782],[0.3631 0.4469 0.19  ],[0.3593 0.4433 0.1975],[0.3652 0.4477 0.1872],[0.3598 0.4428 0.1975],[0.3658 0.4472 0.187 ],[0.3294 0.3618 0.3087],[0.4097 0.3825 0.2079],[0.5138 0.3127 0.1735],0.1766,0.22963566896201595,0.22593776614589167,0.2313162321320414,0.18936299850444083,0.2181192821943102,0.2088072611058164,0.9017573599999998,0.29160499999999995,0.64146122,0.220870805,0.6460176300000001,0.22473163000000002,0.6384501700000002,0.21898873000000005,0.64493413,0.22441140499999998,0.63716648,0.21858932,0.67589929,0.272530905,0.5379827500000001,0.19581747000000002,0.36427398,0.133246345,0.36215801999999997,0.147408885
Coritiba,Palmeiras,36,[0.7182 0.1993 0.0815],[0.6689 0.2169 0.1136],[0.6587 0.2208 0.1199],[0.6716 0.2164 0.1115],[0.6591 0.2206 0.1198],[0.6722 0.216  0.1112],[0.6375 0.1923 0.1693],[0.6142 0.2215 0.1635],[0.4534 0.3217 0.2249],0.1514,0.14941562937893668,0.14614184973611172,0.15093385253541655,0.11381111574017648,0.116971842688482,0.10203181365153048,0.12577398,0.04310924500000001,0.16957777999999996,0.06133460499999998,0.17961434000000004,0.06550315000000002,0.16710777000000002,0.06019540500000001,0.17922921,0.06534257499999999,0.16647428,0.05997622,0.19704803000000004,0.08018755000000001,0.22463614000000004,0.08791838500000002,0.45284246,0.174675785,0.36215801999999997,0.147408885
Internacional,Atlético-MG,36,[0.5693 0.2672 0.1632],[0.5654 0.2474 0.187 ],[0.5413 0.2555 0.203 ],[0.5641 0.2493 0.1864],[0.5484 0.2522 0.1991],[0.573  0.245  0.1816],[0.4839 0.223  0.2928],[0.6119 0.1977 0.1884],[0.534  0.24   0.2257],0.093,0.09364843463004527,0.09326724054137307,0.09378376408276869,0.09394443471706368,0.0975396136168674,0.09715259534633733,0.28353257,0.10611741499999998,0.28505292000000004,0.11196052000000001,0.31689494,0.125847985,0.28690425999999997,0.11241420499999999,0.30718820999999996,0.121851505,0.27533256000000006,0.10772658000000003,0.40182005000000004,0.17613345500000002,0.22520146,0.093438885,0.32569648999999995,0.134116045,0.36215801999999997,0.147408885
Chapecoense,Botafogo,36,[0.5237 0.3059 0.1704],[0.4701 0.2996 0.2302],[0.4541 0.3061 0.2398],[0.4733 0.2983 0.2283],[0.4563 0.3051 0.2386],[0.4766 0.2968 0.2265],[0.4507 0.2475 0.3017],[0.4928 0.2466 0.2602],[0.397  0.2911 0.3119],0.1111,0.10291243541440957,0.09957813798632992,0.10439045784677851,0.08322408675859627,0.08560525196240043,0.07789787719308218,0.34947265999999994,0.12794892499999996,0.42354621000000003,0.166916055,0.44920806,0.17775542500000002,0.4185166699999999,0.16478972999999997,0.4456256600000001,0.17626982500000005,0.41334004999999996,0.16264756499999997,0.45400963000000005,0.19640687000000004,0.38576743999999996,0.16258218,0.5456298199999999,0.23044530499999996,0.36215801999999997,0.147408885
Bahia,Atlético-PR,36,[0.5469 0.3011 0.152 ],[0.4956 0.2907 0.2137],[0.4915 0.2942 0.2143],[0.5002 0.2863 0.2134],[0.4894 0.2964 0.2141],[0.4974 0.2889 0.2136],[0.4799 0.249  0.271 ],[0.4576 0.2702 0.2721],[0.3449 0.2799 0.3751],0.0343,0.046196969914851935,0.04511693453540176,0.04654778249450115,0.06041636816407279,0.06411529717309566,0.07933816276534894,1.10886482,0.5091018050000001,0.9483935400000001,0.431943525,0.9454503800000001,0.42944837,0.95090729,0.43439115,0.94500413,0.42849700500000004,0.94929493,0.43283723,0.8237460099999999,0.38079961500000004,0.81224421,0.36954530500000005,0.5878000299999999,0.25466553000000003,0.91675802,0.424708885
Fluminense,Corinthians,37,[0.5419 0.2936 0.1644],[0.4995 0.2883 0.2121],[0.4974 0.285  0.2176],[0.4989 0.2898 0.2113],[0.4988 0.2847 0.2165],[0.5003 0.2895 0.2101],[0.4739 0.2353 0.2906],[0.5971 0.2332 0.1693],[0.4785 0.2891 0.2323],0.0021,0.0011088233338515498,0.0012344482404287053,0.001067589246764144,0.002704408675609741,0.0033717982263363035,0.0011579459746051835,0.32308392999999996,0.11845793499999994,0.3786035499999999,0.14776454999999994,0.38118151999999994,0.14997825999999997,0.37973293999999996,0.14787445,0.37912778,0.14903684499999997,0.37765235,0.14694207000000004,0.41659566000000003,0.18067294499999997,0.24537314000000005,0.09556333000000003,0.4095043500000001,0.16298601000000001,0.36215801999999997,0.147408885
São Paulo,Figueirense,37,[0.7634 0.1391 0.0882],[0.7744 0.1338 0.0834],[0.7666 0.1379 0.0878],[0.7852 0.1276 0.0775],[0.763  0.1399 0.0897],[0.781  0.1301 0.0797],[0.6212 0.1669 0.207 ],[0.7654 0.1329 0.0913],[0.683  0.1909 0.1245],0.0594,0.06102345894699013,0.06390888833231594,0.05929537636924748,0.061093541692724775,0.057609391555326295,0.09077744223040997,1.33170761,0.29618615000000004,1.3569533599999999,0.30409658,1.3386008099999998,0.29842755,1.3836270500000003,0.31211848500000006,1.3299870999999999,0.295826085,1.3730391000000002,0.30897442500000005,1.1227940499999998,0.21540752999999999,1.3460352599999998,0.298144105,1.1366320600000002,0.241196385,0.8609580199999999,0.156308885
