Home,Away,Rodada,prob_PD_gol,prob_PD_gol_Fina_RB,prob_PD_gol_FinC_RB,prob_PD_gol_Fina,prob_PD_gol_FinC,prob_binpo_log,prob_DC,prob_PB,prob_PD_gol_placar,prob_PD_gol_Fina_RB_placar,prob_PD_gol_FinC_RB_placar,prob_PD_gol_Fina_placar,prob_PD_gol_FinC_placar,prob_binpo_log_placar,prob_DC_placar,prob_PB_placar,prob_binpo_p,prob_binpo_p_placar,Defi_PB,RPS_PB,Acerto_PB,Defi_PD_gol,RPS_PD_gol,Acerto_PD_gol,Defi_PD_gol_FinC_RB,RPS_PD_gol_FinC_RB,Acerto_PD_gol_FinC_RB,Defi_PD_gol_Fina_RB,RPS_PD_gol_Fina_RB,Acerto_PD_gol_Fina_RB,Defi_PD_gol_FinC,RPS_PD_gol_FinC,Acerto_PD_gol_FinC,Defi_PD_gol_Fina,RPS_PD_gol_Fina,Acerto_PD_gol_Fina,Defi_DC,RPS_DC,Acerto_DC,Defi_binpo_log,RPS_binpo_log,Acerto_binpo_log,Defi_binpo_p,RPS_binpo_p,Acerto_binpo_p,Defi_palp_br,RPS_palp_br,Acertos_palp_br_binpo_p
Cruzeiro,Santa Cruz,22,[0.5423 0.232  0.2251],[0.5595 0.2282 0.2116],[0.5187 0.2376 0.2432],[0.57   0.2256 0.2037],[0.5302 0.2353 0.234 ],[0.4679 0.228  0.3034],[0.5775 0.2029 0.2188],[0.6301 0.2209 0.1478],0.0918422100088301,0.09557554763605071,0.08764073853064538,0.09770940946397744,0.08998579132611197,0.064449400644831,0.09275545541558941,0.1043,[0.5188 0.2577 0.2233],0.10233283875621442,0.20746766,0.079514225,1,0.31398329999999997,0.13021507,1,0.34724969,0.14551981499999994,1,0.29089005,0.119556015,1,0.33083413000000006,0.13785126999999997,1,0.27728905000000004,0.11333992500000002,1,0.26754809999999996,0.113365525,1,0.42716597,0.18780385500000002,1,0.34782561999999995,0.14075286499999998,1,0.36215801999999997,0.147408885,1
Santos,Figueirense,22,[0.7423 0.1802 0.0762],[0.7641 0.165  0.069 ],[0.7358 0.1848 0.0783],[0.7589 0.1688 0.0706],[0.7324 0.1873 0.0793],[0.7935 0.1468 0.0569],[0.7468 0.1611 0.0905],[0.7618 0.1875 0.0494],0.0385429255880492,0.03378318537966604,0.039993833744872795,0.03493508692969053,0.040777279967944016,0.02815860383934558,0.04500791541345396,0.0275,[0.6868 0.1786 0.1318],0.03579869398882004,1.51913585,0.74075571,0,1.4368877699999998,0.7010086149999999,0,1.42508357,0.694453605,0,1.47783481,0.7235396150000001,0,1.41917954,0.6911294250000001,0,1.46820701,0.718279695,0,1.4108536999999999,0.690997605,0,1.5406301,0.75690709,0,1.2573634399999998,0.6103096199999999,0,0.91675802,0.424708885,0
Ponte Preta,Corinthians,22,[0.3183 0.2706 0.4109],[0.3136 0.274  0.4124],[0.2956 0.263  0.4412],[0.3268 0.2765 0.3967],[0.3101 0.2666 0.4232],[0.3272 0.2573 0.4153],[0.3402 0.2282 0.4313],[0.3687 0.2715 0.3596],0.05481408553819225,0.05459386093149013,0.048984378710882126,0.05778714328987698,0.0523545692877572,0.05296883370645083,0.05083799946925844,0.0539,[0.4511 0.2786 0.2702],0.08951873413010936,0.6015640999999999,0.26399788499999993,1,0.70677806,0.31685906999999996,0,0.7600058,0.34550668,0,0.7162947199999999,0.32060936,0,0.7261358099999999,0.327572455,0,0.68702138,0.305284565,0,0.6734309699999999,0.31080734499999996,0,0.6913372200000001,0.31265006500000003,0,0.4519172099999999,0.18717665499999994,1,0.36215801999999997,0.147408885,1
Fluminense,Palmeiras,22,[0.3922 0.2827 0.3251],[0.3981 0.2807 0.3212],[0.3872 0.2771 0.3356],[0.3945 0.2848 0.3206],[0.3844 0.2812 0.3343],[0.4134 0.273  0.3135],[0.4035 0.2509 0.3456],[0.4138 0.3347 0.2514],0.05868085566074035,0.05746526081689283,0.05976584999845224,0.05808620666250672,0.06038732812455608,0.05438120856231228,0.0587701626847213,0.0374,[0.3419 0.2716 0.3865],0.06945982089244292,0.8436564899999999,0.36574134999999997,0,0.68923014,0.30465542500000004,0,0.66813561,0.29560917000000003,0,0.6980455400000001,0.30962652500000004,0,0.66999329,0.295393365,0,0.69832565,0.30853937500000006,0,0.65400242,0.2955258050000001,0,0.71671081,0.32102226500000003,0,0.5670444199999999,0.24663892999999995,1,0.91675802,0.424708885,0
São Paulo,Coritiba,22,[0.5124 0.2797 0.2078],[0.5305 0.2754 0.1939],[0.5183 0.2765 0.2051],[0.5177 0.2794 0.2028],[0.5054 0.2807 0.2139],[0.5202 0.2397 0.2398],[0.4725 0.2558 0.2717],[0.4737 0.3234 0.2028],0.12007591095446,0.1197376758846422,0.1168824011713117,0.1214460806671943,0.11916242257756587,0.061759553462449865,0.09281037794908659,0.1482,[0.4211 0.3017 0.2771],0.13132982141771332,0.72330709,0.13278005499999998,0,0.8245666899999999,0.15288808999999998,0,0.83415315,0.15537097,0,0.84407262,0.15955255,0,0.81857486,0.15059118499999996,0,0.8284054900000001,0.15459085500000003,0,0.8509107799999999,0.14853857,0,0.9061681699999999,0.16412807,0,0.7417325099999998,0.12708253,0,0.8609580199999999,0.156308885,0
Grêmio,Atlético-MG,22,[0.5766 0.215  0.2073],[0.5766 0.2191 0.2034],[0.5368 0.2313 0.2313],[0.5952 0.2087 0.1948],[0.5558 0.2213 0.222 ],[0.6596 0.1702 0.1645],[0.4784 0.2089 0.312 ],[0.529  0.2395 0.2307],0.09951873652673852,0.10273013987873336,0.1089296685427851,0.09622264787984615,0.10265891490102101,0.06762694417846465,0.0911914434636399,0.104,[0.5128 0.2216 0.2647],0.09858693304589056,0.9114237399999999,0.166716945,0,0.9916658500000001,0.187949665,0,0.93255362,0.170966105,0,0.98364393,0.18710343000000002,0,0.96457133,0.17929943,0,1.01836577,0.19635996999999997,0,0.95204977,0.16332417,0,1.1507004499999998,0.23203634499999998,0,0.93893649,0.166754005,0,0.8609580199999999,0.156308885,0
Chapecoense,Flamengo,22,[0.4085 0.2636 0.3278],[0.4086 0.2664 0.3249],[0.3945 0.2649 0.3404],[0.4178 0.2643 0.3178],[0.4051 0.263  0.3318],[0.3051 0.2181 0.4756],[0.3578 0.2316 0.4104],[0.3613 0.2971 0.3415],0.030445600771520368,0.029419944471224205,0.03174075732932201,0.02893093286730094,0.031100970693694666,0.05836408133841468,0.041834952331592505,0.0306,[0.4386 0.2648 0.2965],0.025936746782952404,0.65242835,0.28201413000000003,0,0.68821005,0.30929533499999995,0,0.66087442,0.29521932500000003,0,0.69368293,0.31128948500000003,0,0.67976625,0.305231815,0,0.7098081699999998,0.31990862999999997,0,0.52928756,0.23770662000000004,1,0.41564897999999995,0.18341284500000002,1,0.75740125,0.34357076500000006,0,0.91675802,0.424708885,0
Vitória,América-MG,22,[0.6978 0.1992 0.102 ],[0.7096 0.191  0.0982],[0.6755 0.2125 0.1113],[0.7189 0.1866 0.0932],[0.6868 0.2072 0.1053],[0.7672 0.1428 0.0842],[0.6754 0.1926 0.1312],[0.7085 0.2167 0.0739],0.08814290409404746,0.08879094868277318,0.08779864167874217,0.08783553756416591,0.08712524031084666,0.08852464707291907,0.09211488571606904,0.0897,[0.6229 0.2355 0.1412],0.08964765491202834,0.13739235,0.04528404999999999,1,0.14140948,0.050967420000000006,1,0.16284419,0.05892237000000001,1,0.1304564,0.04710697999999999,1,0.15211417000000002,0.05466536500000003,1,0.12252301,0.043974575,1,0.15967336,0.0613949,1,0.08167732,0.03116474,1,0.2176021,0.081127565,1,0.36215801999999997,0.147408885,1
Sport,Internacional,22,[0.5405 0.2406 0.2185],[0.5373 0.2408 0.2215],[0.5284 0.245  0.2263],[0.5462 0.238  0.2153],[0.5369 0.2424 0.2203],[0.4983 0.2488 0.2526],[0.5724 0.1985 0.228 ],[0.622  0.2289 0.1482],0.11445115503092242,0.11451856767809003,0.11649914419362262,0.11318042494872534,0.11528786418719542,0.11829215415982339,0.09034935259643703,0.1009,[0.5176 0.2544 0.2278],0.12035806219291953,1.00344245,0.20455781,0,0.9165708599999999,0.17002881,0,0.90044325,0.165277105,0,0.9141381799999999,0.16896553,0,0.9107514600000002,0.16848513,0,0.92533253,0.17245216500000002,0,1.0220280099999999,0.19006489,0,0.87641109,0.156130695,0,0.8757219600000001,0.15994689999999995,0,0.8609580199999999,0.156308885,0
Atlético-PR,Botafogo,22,[0.4983 0.2856 0.216 ],[0.4816 0.2931 0.2252],[0.4629 0.2955 0.2415],[0.5051 0.2848 0.21  ],[0.4878 0.2877 0.2244],[0.6027 0.2274 0.1693],[0.4793 0.2656 0.2551],[0.4947 0.3203 0.185 ],0.16463166549812838,0.1664143020543591,0.16092277480542083,0.16701020788696258,0.1623026510146992,0.12966553483085472,0.16634984455329288,0.1702,[0.3705 0.294  0.3355],0.1282985477813609,0.39214518000000004,0.14477654500000003,1,0.37992624999999997,0.149201055,1,0.43411891,0.17342349,1,0.40536120999999997,0.15974933,1,0.39547549,0.15637454999999997,1,0.37013704999999997,0.144534015,1,0.40674785999999996,0.16810224999999998,1,0.23822054,0.09335682999999999,1,0.5952664999999999,0.25441525,1,0.36215801999999997,0.147408885,1
