Ano,Rodada,home_team,away_team,placar_casa,placar_visitante,resultado,FS_h,FT_h,FD_h,FF_h,RB_h,FC_h,CA_h,FinC_h,Finalizacoes_h,FS_a,FT_a,FD_a,FF_a,RB_a,FC_a,CA_a,FinC_a,Finalizacoes_a,Proporcao_C_h,Proporcao_Tot_h,Proporcao_C_a,Proporcao_Tot_a,resultado_v
2014,8,Flamengo,Figueirense,1.0,1.0,2,15.0,0.0,3.0,6.0,17.0,6.0,0.0,3.0,9.0,7.0,1.0,5.0,2.0,15.0,16.0,1.0,6.0,8.0,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.125,[0 1 0]
2014,8,Sport,Grêmio,0.0,0.0,2,12.0,0.0,7.0,12.0,17.0,18.0,2.0,7.0,19.0,17.0,0.0,3.0,2.0,12.0,12.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,[0 1 0]
2014,8,Palmeiras,Botafogo,0.0,2.0,3,13.0,0.0,5.0,9.0,19.0,17.0,0.0,5.0,14.0,15.0,0.0,0.0,1.0,12.0,13.0,3.0,2.0,3.0,0.0,0.0,1.0,0.6666666666666666,[0 0 1]
2014,8,Criciúma,Coritiba,1.0,0.0,1,19.0,0.0,7.0,3.0,20.0,17.0,5.0,7.0,10.0,17.0,0.0,5.0,7.0,16.0,21.0,5.0,5.0,12.0,0.14285714285714285,0.1,0.0,0.0,[1 0 0]
2014,8,Bahia,Santos,0.0,2.0,3,14.0,0.0,1.0,8.0,15.0,14.0,4.0,1.0,9.0,14.0,0.0,5.0,3.0,12.0,16.0,2.0,5.0,8.0,0.0,0.0,0.4,0.25,[0 0 1]
2014,8,Internacional,Chapecoense,2.0,0.0,1,18.0,0.0,0.0,12.0,21.0,18.0,2.0,2.0,14.0,17.0,0.0,3.0,7.0,9.0,18.0,4.0,3.0,10.0,1.0,0.14285714285714285,0.0,0.0,[1 0 0]
2014,8,Goiás,Vitória,0.0,0.0,2,10.0,0.0,6.0,2.0,18.0,10.0,0.0,6.0,8.0,10.0,0.0,2.0,2.0,7.0,10.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,[0 1 0]
2014,8,Corinthians,Cruzeiro,1.0,0.0,1,11.0,2.0,6.0,5.0,22.0,16.0,2.0,8.0,13.0,15.0,0.0,4.0,4.0,25.0,11.0,0.0,4.0,8.0,0.125,0.07692307692307693,0.0,0.0,[1 0 0]
2014,8,Atlético-PR,São Paulo,2.0,2.0,2,11.0,0.0,1.0,8.0,6.0,14.0,2.0,2.0,10.0,13.0,0.0,2.0,6.0,11.0,12.0,1.0,2.0,8.0,1.0,0.2,1.0,0.25,[0 1 0]
2014,8,Atlético-MG,Fluminense,2.0,0.0,1,12.0,0.0,1.0,4.0,15.0,15.0,7.0,2.0,6.0,14.0,1.0,6.0,12.0,14.0,13.0,4.0,7.0,19.0,1.0,0.3333333333333333,0.0,0.0,[1 0 0]
2014,9,Cruzeiro,Flamengo,3.0,0.0,1,11.0,0.0,6.0,7.0,28.0,15.0,0.0,6.0,13.0,15.0,0.0,1.0,3.0,13.0,11.0,1.0,1.0,4.0,0.5,0.23076923076923078,0.0,0.0,[1 0 0]
2014,9,Grêmio,Palmeiras,0.0,0.0,2,23.0,0.0,1.0,5.0,8.0,16.0,3.0,1.0,6.0,16.0,1.0,5.0,5.0,15.0,23.0,5.0,6.0,11.0,0.0,0.0,0.0,0.0,[0 1 0]
2014,9,Chapecoense,Bahia,2.0,1.0,1,17.0,0.0,5.0,4.0,17.0,28.0,4.0,5.0,9.0,28.0,0.0,1.0,7.0,7.0,20.0,3.0,1.0,8.0,0.4,0.2222222222222222,1.0,0.125,[1 0 0]
2014,9,Botafogo,Corinthians,1.0,0.0,1,12.0,0.0,3.0,2.0,11.0,19.0,3.0,3.0,5.0,17.0,1.0,7.0,6.0,15.0,14.0,0.0,8.0,14.0,0.3333333333333333,0.2,0.0,0.0,[1 0 0]
2014,9,Fluminense,Internacional,1.0,1.0,2,21.0,0.0,2.0,5.0,15.0,15.0,2.0,2.0,7.0,13.0,0.0,5.0,7.0,21.0,21.0,3.0,5.0,12.0,0.5,0.14285714285714285,0.2,0.08333333333333333,[0 1 0]
2014,9,São Paulo,Atlético-MG,2.0,1.0,1,20.0,0.0,2.0,5.0,16.0,22.0,3.0,2.0,7.0,22.0,1.0,2.0,9.0,11.0,20.0,2.0,3.0,12.0,1.0,0.2857142857142857,0.3333333333333333,0.08333333333333333,[1 0 0]
